1,Which of the following best completes the sentence: The Enterprise Continuum __________,A) provides a method for architecture development,B) describes a database of open industry standards,C) is an architecture framework,D) is a technical reference model,E) provides methods for classifying artifacts,E
2,Which one of the following statements does not correctly describe architecture deliverables?,A) They are usually reviewed and signed off by the stakeholders,B) They are defined to avoid tailoring the inputs and outputs of the ADM cycle,C) They are consumed and produced across the ADM cycle,D) They are typically contractual work products of an architecture project,,B
3,Which Architecture Governance process ensures that regulatory requirements are being met?,A) Environment management,B) Policy management,C) Business control,D) Dispensation,E) Compliance,E
4,"An organization has bought a large enterprise application. As a result, which of the following could be included in the organization’s Solutions Continuum?",A) A reference implementation of the Foundation Architecture,B) Architecture Building Blocks for the organizations’ Industry-Specific Architecture,C) A reference implementation of the Technical Reference Model for the organization,D) Product information for purchased products,,D
5,"Complete the sentence: In Phase C, when an existing application is to be replaced, the Data Architecture should______________",A) estimate the effort required to overcome any issues,B) identify the data migration requirements,C) describe how this change impacts other projects,D) include the application interoperability requirements,E) be re-factored to align with the technology infrastructure,B
6,"According to the TOGAF standard, all of the following are suggested characteristics of an architecture framework, except __________",A) A list of recommended standards,B) A common vocabulary,C) A software development lifecycle method,D) A method for designing a target state of the enterprise in terms of building blocks,E) A set of structures which can be used to develop a broad range of architectures,C
7,"Which one of the following does the Architecture Content Framework describe as a work product that is contractually specified, formally reviewed, and signed off by the stakeholders?",A) A building block,B) A deliverable,C) An artifact,D) A matrix,E) A catalog,B
8,"As architecture deliverables and work products created in one ADM phase are modified by subsequent phases, how does the TOGAF standard suggest tracking the changes?",A) Workflow management system,B) Change control committee,C) Document checkpoints and journaling,D) Version numbers,,D
9,Which one of the following represents the detailed construction of the architectures defined in the Architecture Continuum?,A) Foundation Architectures,B) Solution Building Blocks,C) Reference Models,D) Architecture Building Blocks,,B
10,"Complete the sentence: All of the following are part of the approach to the Preliminary Phase, except ____________",A) defining the enterprise,B) defining Architecture Contracts,C) defining the framework to be used,D) defining the requirements for architecture work,E) identifying key drivers and elements in the organizational context,B
11,Which of the TOGAF architecture development phases includes the development of Data and Application Architectures?,A) Phase D,B) Phase E,C) Phase C,D) Phase B,E) Phase A,C
12,"Complete the sentence: According to the TOGAF standard, Capability-Based Planning is ____",A) focused on technical capabilities,B) focused on business outcomes,C) a tactical planning technique that enhances system performance,D) focused on staffing and human resource management issues,,B
13,Which one of the statements about Architecture Principles is not correct?,A) A good set of principles is complete.,B) A principle is a general rule or guideline.,C) A principle statement should be succinct and unambiguous.,D) A principle is transient and updated frequently.,E) They are described in a standard way.,D
14,Which of the following is defined as the risk categorization after the implementation of mitigating actions?,A) Residual Level of Risk,B) Actual Level of Risk,C) Initial Level of Risk,D) Strategic Level of Risk,,A
15,What provides stakeholder context into why the organization needs business capabilities?,A) Business Capability Map,B) Value Stream Map,C) Organization Map,D) Business Scenarios,,B
16,Stakeholders and their concerns are key concepts in the TOGAF standard. Which one of the following statements is false?,A) Concerns are key interests relevant to one or more stakeholders.,"B) Stakeholders can be individuals, teams, or organizations.",C) Concerns should be SMART and have specific metrics.,"D) Stakeholders have key roles in, or concerns about, the system.",,C
17,Which of the following best describes the purpose of the TOGAF TRM?,"A) To provide a visual model, and core terminology for generic platform services",B) To provide a generic framework for IT governance,C) To provide a system engineering viewpoint on a possible solution,D) To provide a method for architecture development,E) To provide a list of standards,A
18,"According to the TOGAF standard, which of the following best describes why an Architecture Board should be established?",A) To oversee the implementation of the governance strategy,B) To ensure that new systems are introduced in a managed change process,C) To conduct source code design reviews,D) To facilitate the adoption of advanced technologies,,A
